# labeled dataset : 4000
# unlabeled dataset : 46000
# train iteration : 1048576
# test iteration : 156
# create thread : 0
# create thread : 1
# create thread : 2
# create thread : 3
# create thread : 4
# create thread : 5
# create thread : 6
# create thread : 7
[i] step = 100, loss = 3.1526, labeled_loss = 1.8128, unlabeled_loss = 0.0002, l2_reg_loss = 1.3396, accuracy = 9.75, train_time = 202sec
[i] step = 200, loss = 2.8778, labeled_loss = 1.5723, unlabeled_loss = 0.0004, l2_reg_loss = 1.3051, accuracy = 9.97, train_time = 151sec
[i] step = 300, loss = 2.6957, labeled_loss = 1.4206, unlabeled_loss = 0.0036, l2_reg_loss = 1.2715, accuracy = 10.25, train_time = 158sec
[i] step = 400, loss = 2.5215, labeled_loss = 1.2680, unlabeled_loss = 0.0135, l2_reg_loss = 1.2400, accuracy = 13.27, train_time = 163sec
[i] step = 500, loss = 2.4248, labeled_loss = 1.1869, unlabeled_loss = 0.0277, l2_reg_loss = 1.2102, accuracy = 14.80, train_time = 149sec
[i] step = 600, loss = 2.2848, labeled_loss = 1.0562, unlabeled_loss = 0.0471, l2_reg_loss = 1.1815, accuracy = 16.09, train_time = 116sec
[i] step = 700, loss = 2.2104, labeled_loss = 0.9882, unlabeled_loss = 0.0681, l2_reg_loss = 1.1542, accuracy = 15.08, train_time = 110sec
[i] step = 800, loss = 2.1304, labeled_loss = 0.9176, unlabeled_loss = 0.0847, l2_reg_loss = 1.1281, accuracy = 15.94, train_time = 109sec
[i] step = 900, loss = 2.0442, labeled_loss = 0.8459, unlabeled_loss = 0.0955, l2_reg_loss = 1.1029, accuracy = 17.36, train_time = 112sec
[i] step = 1000, loss = 1.9967, labeled_loss = 0.8205, unlabeled_loss = 0.0980, l2_reg_loss = 1.0782, accuracy = 18.28, train_time = 107sec
[i] step = 1100, loss = 1.9488, labeled_loss = 0.7893, unlabeled_loss = 0.1048, l2_reg_loss = 1.0547, accuracy = 20.73, train_time = 113sec
[i] step = 1200, loss = 1.8983, labeled_loss = 0.7486, unlabeled_loss = 0.1172, l2_reg_loss = 1.0324, accuracy = 18.56, train_time = 108sec
[i] step = 1300, loss = 1.8424, labeled_loss = 0.7045, unlabeled_loss = 0.1268, l2_reg_loss = 1.0111, accuracy = 23.05, train_time = 116sec
[i] step = 1400, loss = 1.7836, labeled_loss = 0.6667, unlabeled_loss = 0.1263, l2_reg_loss = 0.9905, accuracy = 29.03, train_time = 106sec
